Activity,Activity_Type,Activity_Value,Compound_CID,uM,p_value,Label,Final_Activity
Active,Ki,4.3e-06,122172662.0,4.3e-06,11.366531544420415,1,Active
Active,Kd,5.9e-06,122172651.0,5.9e-06,11.229147988357855,1,Active
Active,Kd,6.6e-06,122172665.0,6.6e-06,11.18045606445813,1,Active
Active,Kd,7.5e-06,122172647.0,7.5e-06,11.1249387366083,1,Active
Active,Kd,9.1e-06,122172649.0,9.1e-06,11.040958607678906,1,Active
Active,Kd,3.4e-05,122172645.0,3.4e-05,10.468521082957745,1,Active
Active,Ki,5.3e-05,123131637.0,5.3e-05,10.275724130399212,1,Active
Active,Kd,6.2e-05,122172657.0,6.2e-05,10.207608310501746,1,Active
Active,Kd,9.5e-05,162394475.0,9.5e-05,10.022276394711152,1,Active
Active,Kd,0.0001,146036007.0,0.0001,10.0,1,Active
Active,IC50,0.0001,172459814.0,0.0001,10.0,1,Active
Active,IC50,0.00013,146323099.0,0.00013,9.886056647693163,1,Active
Active,IC50,0.000152,166166755.0,0.000152,9.818156412055227,1,Active
Active,IC50,0.000152,166167095.0,0.000152,9.818156412055227,1,Active
Active,IC50,0.0002,164607192.0,0.0002,9.698970004336019,1,Active
Active,IC50,0.0002,172471234.0,0.0002,9.698970004336019,1,Active
Active,IC50,0.00024,136049448.0,0.00024,9.619788758288394,1,Active
Active,IC50,0.00025,171665290.0,0.00025,9.602059991327963,1,Active
Active,Ki,0.00025,71616053.0,0.00025,9.602059991327963,1,Active
Active,IC50,0.00025,172056492.0,0.00025,9.602059991327963,1,Active
Active,IC50,0.00027,146323048.0,0.00027,9.568636235841012,1,Active
Active,IC50,0.0003,156471789.0,0.0003,9.522878745280337,1,Active
Active,IC50,0.0003,172443434.0,0.0003,9.522878745280337,1,Active
Active,IC50,0.0003,172471837.0,0.0003,9.522878745280337,1,Active
Active,Kd,0.0003,91668531.0,0.0003,9.522878745280337,1,Active
Active,IC50,0.0003162,172461050.0,0.0003162,9.500038134403809,1,Active
Active,IC50,0.000323,166166794.0,0.000323,9.490797477668897,1,Active
Active,IC50,0.00033,168270044.0,0.00033,9.481486060122112,1,Active
Active,IC50,0.00034,156311115.0,0.00034,9.468521082957745,1,Active
Active,IC50,0.00034,146323032.0,0.00034,9.468521082957745,1,Active
Active,IC50,0.00034,168296521.0,0.00034,9.468521082957745,1,Active
Active,IC50,0.00035,172056483.0,0.00035,9.455931955649724,1,Active
Active,IC50,0.00035,156471779.0,0.00035,9.455931955649724,1,Active
Active,IC50,0.00039,168269610.0,0.00039,9.4089353929735,1,Active
Active,IC50,0.0003981,52912222.0,0.0003981,9.400007822415901,1,Active
Active,IC50,0.0004,154022894.0,0.0004,9.397940008672037,1,Active
