Activity,Activity_Type,Activity_Qualifier,Activity_Value,Compound_CID,Protein_Accession,Label
Active,IC50,=,0.1,52912189.0,O60885,1.0
Active,Kd,=,0.32,46943432.0,O60885,1.0
Active,IC50,=,0.021,46907787.0,O60885,1.0
Active,IC50,=,0.61,135564749.0,O60885,1.0
Active,IC50,,0.049,152283810.0,O60885,1.0
Active,IC50,,0.127,152051716.0,O60885,1.0
Active,IC50,,0.087,151157777.0,O60885,1.0
Active,Ki,=,0.0089,118137754.0,O60885,1.0
Active,Ki,=,0.0055,90019075.0,O60885,1.0
Active,Ki,=,0.0038,118137892.0,O60885,1.0
Active,Ki,=,0.0015,118137759.0,O60885,1.0
Active,Ki,=,0.011,118137765.0,O60885,1.0
Active,Ki,=,0.0015,118137789.0,O60885,1.0
Active,IC50,=,0.73,71272103.0,O60885,1.0
Active,IC50,=,0.22,71271897.0,O60885,1.0
Active,IC50,=,0.47,71459124.0,O60885,1.0
Active,IC50,=,0.88,71450122.0,O60885,1.0
Active,IC50,=,0.39,71271375.0,O60885,1.0
Active,IC50,<,0.05,137643908.0,O60885,1.0
Active,Kd,=,0.0013,132157535.0,O60885,1.0
Active,Ki,=,0.0021,86582916.0,O60885,1.0
Active,IC50,=,0.015,91826363.0,O60885,1.0
Active,IC50,<,0.011,91826394.0,O60885,1.0
Active,IC50,=,0.01,77108189.0,O60885,1.0
Active,IC50,=,0.009,137661082.0,O60885,1.0
Active,Ki,=,0.016,90019266.0,O60885,1.0
Active,Ki,=,0.0034,118137846.0,O60885,1.0
Active,Ki,=,0.017,72548032.0,O60885,1.0
Active,Ki,=,0.071,90019789.0,O60885,1.0
Active,Ki,=,0.0167,59190723.0,O60885,1.0
Active,Ki,=,0.0056,72548029.0,O60885,1.0
Active,Ki,=,0.0019,118137780.0,O60885,1.0
Active,Ki,=,0.007,90016835.0,O60885,1.0
Active,Ki,=,0.0008,118138005.0,O60885,1.0
Active,IC50,<,0.011,122553422.0,O60885,1.0
Active,IC50,=,0.017,137648298.0,O60885,1.0
Active,IC50,=,0.005,118509541.0,O60885,1.0
Active,IC50,=,0.014,78428091.0,O60885,1.0
Active,IC50,=,0.036,137652287.0,O60885,1.0
Active,Ki,=,0.0009,117775856.0,O60885,1.0
Active,Ki,=,0.015,71760902.0,O60885,1.0
Active,Ki,=,0.011,117775483.0,O60885,1.0
Active,IC50,=,0.002,122588642.0,O60885,1.0
Active,IC50,=,0.13,16722832.0,O60885,1.0
Active,IC50,=,0.025,11364421.0,O60885,1.0
Active,Ki,=,0.0022,117772437.0,O60885,1.0
Active,IC50,=,0.6,71271926.0,O60885,1.0
Active,IC50,=,0.063,118237331.0,O60885,1.0
Active,IC50,=,0.005,118693659.0,O60885,1.0
Active,IC50,=,0.00093,118137913.0,O60885,1.0
Active,IC50,<,0.005,137649517.0,O60885,1.0
Active,IC50,=,0.0023,118116651.0,O60885,1.0
Active,IC50,<,0.005,91810827.0,O60885,1.0
Active,IC50,=,0.092,9936746.0,O60885,1.0
Active,IC50,<,0.05,137649726.0,O60885,1.0
Active,IC50,=,0.014,122446081.0,O60885,1.0
Active,IC50,=,0.021,122446098.0,O60885,1.0
Active,IC50,=,0.03,78323579.0,O60885,1.0
Active,IC50,=,0.02,87056019.0,O60885,1.0
Active,IC50,=,0.0031,137650502.0,O60885,1.0
Active,IC50,=,0.79,164626006.0,O60885,1.0
Active,IC50,=,0.008,86271987.0,O60885,1.0
Active,IC50,,0.143,118889502.0,O60885,1.0
Active,Kd,,0.055,155234513.0,O60885,1.0
Active,Kd,<,0.01,155234631.0,O60885,1.0
Active,Kd,,0.055,155233905.0,O60885,1.0
Active,Kd,<,0.01,155234579.0,O60885,1.0
Active,Kd,,0.055,155234582.0,O60885,1.0
Active,Kd,,0.055,155247608.0,O60885,1.0
Active,Kd,,0.055,155234508.0,O60885,1.0
Active,Kd,,0.055,155234370.0,O60885,1.0
Active,Kd,,0.055,155234512.0,O60885,1.0
Active,Kd,<,0.01,155234441.0,O60885,1.0
Active,Kd,,0.055,155234265.0,O60885,1.0
Active,Kd,<,0.01,155234593.0,O60885,1.0
Active,Kd,<,0.01,155234506.0,O60885,1.0
Active,Kd,,0.055,155234356.0,O60885,1.0
Active,Kd,,0.055,155234493.0,O60885,1.0
Active,IC50,=,0.01585,132004022.0,O60885,1.0
Active,IC50,=,0.07943,126648559.0,O60885,1.0
Active,Kd,,0.055,155234621.0,O60885,1.0
Active,Kd,<,0.01,155234495.0,O60885,1.0
Active,Kd,=,0.079,10461508.0,O60885,1.0
Active,IC50,=,0.29,16722836.0,O60885,1.0
Active,IC50,<,0.5,72549437.0,O60885,1.0
Active,IC50,<,0.5,118021553.0,O60885,1.0
Active,IC50,<,0.5,118021441.0,O60885,1.0
Active,IC50,<,0.5,123339508.0,O60885,1.0
Active,IC50,<,0.5,123323276.0,O60885,1.0
Active,IC50,<,0.5,118027847.0,O60885,1.0
Active,IC50,<,0.5,118021408.0,O60885,1.0
Active,IC50,<,0.5,118022082.0,O60885,1.0
Active,IC50,=,0.07943,138523705.0,O60885,1.0
Active,IC50,=,0.01995,155119688.0,O60885,1.0
Active,IC50,=,0.02512,131987252.0,O60885,1.0
Active,IC50,=,0.01,138533720.0,O60885,1.0
Active,IC50,=,0.01995,164609742.0,O60885,1.0
Active,IC50,=,0.00631,156022518.0,O60885,1.0
Active,IC50,=,0.01995,155119689.0,O60885,1.0
Active,IC50,=,0.005012,155119729.0,O60885,1.0
Active,IC50,=,0.15849,164620534.0,O60885,1.0
Active,IC50,=,0.01,5311.0,O60885,1.0
Active,IC50,=,0.036,5352062.0,O60885,1.0
Active,IC50,=,0.005,6918837.0,O60885,1.0
Active,IC50,<,0.1,155235075.0,O60885,1.0
Active,IC50,=,0.1,155714979.0,O60885,1.0
Active,Kd,<,0.1,164616684.0,O60885,1.0
Active,Kd,<,0.1,155714975.0,O60885,1.0
Active,Kd,<,0.1,155235073.0,O60885,1.0
Active,IC50,=,0.01259,164617397.0,O60885,1.0
Active,IC50,=,0.03162,138534073.0,O60885,1.0
Active,IC50,=,0.0631,164613140.0,O60885,1.0
Active,IC50,=,0.01,138533986.0,O60885,1.0
Active,IC50,=,0.01,164620845.0,O60885,1.0
Active,IC50,=,0.05012,138533989.0,O60885,1.0
Active,IC50,=,0.02512,138533789.0,O60885,1.0
Active,IC50,=,0.02512,155119750.0,O60885,1.0
Active,IC50,=,0.02512,131987198.0,O60885,1.0
Active,IC50,=,0.01,155119558.0,O60885,1.0
Active,IC50,=,0.2,137644977.0,O60885,1.0
Active,IC50,=,0.35,137661152.0,O60885,1.0
Active,IC50,=,0.12,137631627.0,O60885,1.0
Active,IC50,=,0.097,137661063.0,O60885,1.0
Active,IC50,=,0.068,137647012.0,O60885,1.0
Active,IC50,<,0.5,118022637.0,O60885,1.0
Active,IC50,<,0.5,118022352.0,O60885,1.0
Active,IC50,<,0.5,118022145.0,O60885,1.0
Active,IC50,<,0.5,118022366.0,O60885,1.0
Active,IC50,<,0.5,118027861.0,O60885,1.0
Active,IC50,<,0.5,156600934.0,O60885,1.0
Active,IC50,<,0.5,123177487.0,O60885,1.0
Active,IC50,<,0.5,123725054.0,O60885,1.0
Active,IC50,<,0.5,118027879.0,O60885,1.0
Active,IC50,<,0.5,118021635.0,O60885,1.0
Active,IC50,<,0.5,118021665.0,O60885,1.0
Active,IC50,<,0.5,118022774.0,O60885,1.0
Active,IC50,<,0.1,162533938.0,O60885,1.0
Active,IC50,<,0.5,123828294.0,O60885,1.0
Active,IC50,<,0.5,123362385.0,O60885,1.0
Active,IC50,<,0.5,118022098.0,O60885,1.0
Active,IC50,=,0.43,135567026.0,O60885,1.0
Active,IC50,=,0.49,137654107.0,O60885,1.0
Active,IC50,=,0.82,24156462.0,O60885,1.0
Active,IC50,=,0.026,49871817.0,O60885,1.0
Active,IC50,=,0.72,137631402.0,O60885,1.0
Active,IC50,=,0.78,82104609.0,O60885,1.0
Active,IC50,=,0.25119,52934042.0,O60885,1.0
Active,IC50,=,0.15849,66571282.0,O60885,1.0
Active,IC50,=,0.12589,71258916.0,O60885,1.0
Active,IC50,=,0.19953,70980220.0,O60885,1.0
Active,IC50,=,0.1,66571407.0,O60885,1.0
Active,IC50,=,0.19953,164621078.0,O60885,1.0
Active,IC50,=,0.03981,66571408.0,O60885,1.0
Active,IC50,=,0.02512,164627591.0,O60885,1.0
Active,IC50,=,0.03981,164622580.0,O60885,1.0
Active,IC50,=,0.63096,122705117.0,O60885,1.0
Active,IC50,=,0.31623,71258968.0,O60885,1.0
Active,IC50,=,0.50119,52934039.0,O60885,1.0
Active,IC50,=,0.12589,164612127.0,O60885,1.0
Active,IC50,=,0.01259,66571469.0,O60885,1.0
Active,IC50,=,0.12589,164622185.0,O60885,1.0
Active,IC50,=,0.63096,164618700.0,O60885,1.0
Active,IC50,=,0.39811,52934277.0,O60885,1.0
